Plot_Name,Plot_Number,Unit,DBI
FRSP-017,017,SPOT,5
FRSP-018,018,SPOT,4
FRSP-056,056,SPOT,3
FRSP-057,057,SPOT,3
FRSP-058,058,SPOT,4
FRSP-059,059,SPOT,5
FRSP-060,060,SPOT,5
FRSP-116,116,SPOT,3
FRSP-118,118,SPOT,4
FRSP-119,119,SPOT,5
FRSP-121,121,SPOT,4
FRSP-122,122,SPOT,4
FRSP-142,142,SPOT,4
FRSP-145,145,SPOT,4
FRSP-180,180,SPOT,4
FRSP-216,216,SPOT,3
FRSP-222,222,SPOT,3
FRSP-224,224,SPOT,5
FRSP-228,228,SPOT,4
FRSP-232,232,SPOT,4
FRSP-234,234,SPOT,4
FRSP-290,290,SPOT,4
FRSP-291,291,SPOT,3
FRSP-312,312,SPOT,4
FRSP-315,315,SPOT,5
FRSP-316,316,SPOT,4
FRSP-318,318,SPOT,3
FRSP-319,319,SPOT,3
FRSP-001,001,FRED,4
FRSP-002,002,FRED,5
FRSP-003,003,FRED,4
FRSP-008,008,FRED,5
FRSP-013,013,FRED,3
FRSP-014,014,FRED,3
FRSP-054,054,FRED,4
FRSP-106,106,FRED,3
FRSP-112,112,FRED,4
FRSP-113,113,FRED,4
FRSP-114,114,FRED,4
FRSP-115,115,FRED,4
FRSP-117,117,FRED,4
FRSP-120,120,FRED,4
FRSP-197,197,FRED,3
FRSP-199,199,FRED,3
FRSP-200,200,FRED,3
FRSP-201,201,FRED,3
FRSP-202,202,FRED,4
FRSP-206,206,FRED,3
FRSP-213,213,FRED,3
FRSP-272,272,FRED,4
FRSP-273,273,FRED,3
FRSP-274,274,FRED,5
FRSP-275,275,FRED,4
FRSP-276,276,FRED,4
FRSP-277,277,FRED,4
FRSP-278,278,FRED,3
FRSP-043,043,CHAN,4
FRSP-044,044,CHAN,3
FRSP-045,045,CHAN,4
FRSP-046,046,CHAN,4
FRSP-047,047,CHAN,4
FRSP-048,048,CHAN,4
FRSP-049,049,CHAN,4
FRSP-075,075,CHAN,5
FRSP-123,123,CHAN,4
FRSP-124,124,CHAN,4
FRSP-125,125,CHAN,3
FRSP-126,126,CHAN,4
FRSP-127,127,CHAN,5
FRSP-128,128,CHAN,4
FRSP-152,152,CHAN,4
FRSP-204,204,CHAN,4
FRSP-210,210,CHAN,4
FRSP-220,220,CHAN,4
FRSP-221,221,CHAN,4
FRSP-223,223,CHAN,4
FRSP-225,225,CHAN,4
FRSP-235,235,CHAN,3
FRSP-279,279,CHAN,4
FRSP-280,280,CHAN,3
FRSP-281,281,CHAN,4
FRSP-282,282,CHAN,4
FRSP-283,283,CHAN,4
FRSP-055,055,WILD,5
FRSP-061,061,WILD,3
FRSP-062,062,WILD,3
FRSP-074,074,WILD,4
FRSP-146,146,WILD,5
FRSP-147,147,WILD,4
FRSP-149,149,WILD,4
FRSP-150,150,WILD,3
FRSP-151,151,WILD,3
FRSP-205,205,WILD,4
FRSP-208,208,WILD,3
FRSP-209,209,WILD,4
FRSP-211,211,WILD,4
FRSP-227,227,WILD,4
FRSP-284,284,WILD,5
FRSP-285,285,WILD,5
FRSP-286,286,WILD,4
FRSP-287,287,WILD,5
FRSP-288,288,WILD,4
FRSP-289,289,WILD,3
FRSP-310,310,WILD,3
