Latin_Name,Common,Author,TSN,Guild,MIDN_INV,Year_added
Acer platanoides,Norway maple,L.,28755,Tree,1,2007
Ailanthus altissima,tree-of-heaven,(Mill.) Swingle,28827,Tree,1,2007
Akebia quinata,chocolate vine,(Houtt.) Decne.ÿ,18857,Shrub,1,2007
Albizia julibrissin,silktree,Durazz.,26449,Tree,1,2007
Alliaria petiolata,garlic mustard,(M. Bieb.) Cavara & Grande,184481,Herbaceous,1,2007
Ampelopsis brevipedunculata,porcelainberry,(Maxim.) Trautv.,28632,Shrub,1,2007
Aralia elata,Japanese angelica tree,(Miq.) Seem.ÿ,184745,Shrub,0,NA
Arthraxon hispidus,small carpgrassÿ,(Thunb.) Makino,41445,Graminoid,0,NA
Berberis thunbergii,Japanese barberry,DC.,18835,Shrub,1,2007
Berberis vulgaris,European barberry,L.,18837,Shrub,0,2019
Cardamine impatiens,narrowleaf bittercress,L.,22798,Herbaceous,1,2007
Celastrus orbiculatus,Asian bittersweet,Thunb.,506068,Shrub,1,2007
Centaurea stoebe,spotted knapweed,L.,780246,Herbaceous,1,2007
Centaurea stoebe ssp. micranthos,spotted knapweed,(Gugler) Hayek,780711,Herbaceous,1,2007
Chelidonium majus,celandine,L.,501481,Herbaceous,0,NA
Cirsium arvense,Canada thistle,(L.) Scop.,36335,Herbaceous,1,2007
Clematis terniflora,leatherleaf clematisÿ,ÿDC.,18712,Herbaceous,1,2007
Dioscorea oppositifolia,Chinese yam,L.,502075,Shrub,1,2013
Dipsacus fullonum,common teasel,L.,35404,Herbaceous,0,NA
Duchesnea indica,Mock strawberry,(Andrews) Focke,25163,Herbaceous,0,2007
Elaeagnus,oleaster,L.,27769,Shrub,0,NA
Elaeagnus angustifolia,Russian olive,L.,27770,Shrub,0,NA
Elaeagnus pungens,thorny olive,Thunb.,502223,Shrub,0,NA
Elaeagnus umbellata,autumn olive,Thunb.,27776,Shrub,0,NA
Epipactis helleborine,broadleaf helleborine,(L.) Crantz,43482,Herbaceous,0,NA
Euonymus,burningbush,L.,27945,Shrub,0,NA
Euonymus alatus,winged burningbush,(Thunb.) Siebold,27946,Shrub,0,NA
Euonymus fortunei,climbing euonymus,(Turcz.) Hand.-Maz.,27950,Shrub,1,2007
Fallopia japonica,Japanese knotweed,(Houtt.) Ronse Decr.ÿ,565897,Herbaceous,1,2007
Fallopia sachalinensis,giant knotweed,(F. Schmidt) Ronse Decr.,565898,Herbaceous,0,NA
Frangula alnus,glossy buckthorn,Mill.,504744,Shrub,0,NA
Glechoma hederacea,creeping charlie,L.,502801,Herbaceous,1,2007
Hedera helix,English ivy,L.,29393,Shrub,1,2007
Hesperis matronalis,dame's rocket,L.,23138,Herbaceous,0,NA
Humulus japonicus,Japanese hop,Siebold & Zucc.ÿ,503065,Herbaceous,0,NA
Iris pseudacorus,yellow iris,L.,43194,Herbaceous,0,NA
Lespedeza bicolor,shrubby lespedeza,Turcz.,25895,Herbaceous,0,NA
Lespedeza cuneata,Chinese lespedeza,(Dum. Cours.) G. Don,25898,herbaceous,1,2007
Ligustrum,privet,L.,32973,Shrub,1,2009
Ligustrum obtusifolium,border privet,Siebold & Zucc.,32976,Shrub,1,2009
Ligustrum ovalifolium,California privet,Hassk.,32977,Shrub,1,2009
Ligustrum sinense,Chinese privet,Lour.,32979,Shrub,1,2009
Ligustrum sp.,privet,L.,32973,Shrub,1,2009
Ligustrum spp.,privet,L.,32973,Shrub,1,2009
Ligustrum vulgare,European privet,L.,32980,Shrub,1,2009
Lonicera - Exotic,exotic bush honeysuckle,L.,35281,Shrub,1,2007
Lonicera japonica,Japanese honeysuckle,Thunb.,35283,Shrub,1,2007
Lonicera maackii,Amur honeysuckle,(Rupr.) Herder,35298,Shrub,1,2007
Lonicera morrowii,Morrow's honeysuckle,A. Gray,35299,Shrub,1,2007
Lonicera tatarica,Tatarian honeysuckle,,35306,Shrub,0,NA
Lysimachia nummularia,moneywort,L.,23993,Herbaceous,0,NA
Lythrum salicaria,purple loosestrife,L.,27079,Herbaceous,0,NA
Microstegium vimineum,Japanese stiltgrass,(Trin.) A. Camus,503829,Graminoid,1,2007
Miscanthus sinensis,Chinese silvergrass,Andersson,41874,Graminoid,0,NA
Morus alba,whilte mulberry,L.,19066,Tree,1,2007
Murdannia keisak,Asian spiderwort,(Hassk.) Hand.-Mazz.ÿ,39145,Herbaceous,0,NA
Nandina domestica,heavenly bamboo,Thunb.,18848,Shrub,0,NA
Nasturtium officinale,watercress,W.T. Aiton,23255,Herbaceous,0,NA
Oplismenus hirtellus ssp. undulatifolius,wavyleaf basketgrass,(Ard.) P. Beauv.ÿ,797406,Graminoid,1,2009
Oplismenus undulatifolius,wavyleaf basketgrass,(Ard.) P. Beauv.ÿ,565334,Graminoid,1,2009
Ornithogalum nutans,drooping star of Bethlehem,L.,42755,Herbaceous,0,NA
Ornithogalum umbellatum,star of Bethlehem,L.,42754,Herbaceous,0,NA
Paulownia tomentosa,princess tree,(Thunb.) Steud.ÿ,33460,Tree,1,2007
Perilla frutescens,beefsteak plant,(L.) Britton,32634,Herbaceous,0,NA
Persicaria longiseta,oriental lady's thumb,(Bruijn) Kitag.,823855,Herbaceous,1,2009
Persicaria perfoliata,mile-a-minute,(L.) H. Grossÿ,823774,Herbaceous,1,2007
Phalaris arundinacea,reed canarygrass,L.,41335,Graminoid,0,NA
Phellodendron amurense,Amur corktree,Rupr.,504297,Tree,0,NA
Photinia villosa,oriental photinia,(Thunb.) DC.,504347,Tree,0,NA
Phragmites australis,common reed,(Cav.) Trin. ex Steud.,41072,Graminoid,0,NA
Polygonum caespitosum,oriental lady's thumb,(Bruijn) Kitag.,20852,Herbaceous,0,NA
Polygonum caespitosum var. ?caespitosum,oriental lady's thumb,(Buch.-Ham. ex D. Don) H. Gross,566298,Herbaceous,0,NA
Polygonum caespitosum var. caespitosum,oriental lady's thumb,(Buch.-Ham. ex D. Don) H. Gross,566298,Herbaceous,0,NA
Polygonum caespitosum var. longisetum,oriental lady's thumb,(Bruijn) Kitag.,529778,Herbaceous,0,NA
Polygonum cuspidatum,Japanese knotweed,(Houtt.) Ronse Decr.ÿ,20889,Herbaceous,0,NA
Polygonum perfoliatum,mile-a-minute,(L.) H. Grossÿ,20914,Herbaceous,0,NA
Polygonum sachalinense,giant knotweed,(F. Schmidt) Ronse Decr.,20923,Herbaceous,0,NA
Populus alba,white poplar,L.,22451,Tree,1,2007
Prunus avium,sweet cherry,(L.) L.,24770,Tree,0,2007
Pueraria montana,kudzu,(Lour.) Merr.ÿ,504683,Shrub,1,2007
Pueraria montana var. lobata,kudzu,(Lour.) Merr.ÿ,529930,Shrub,1,2007
Pyrus calleryana,Callery pear,Decne.,504706,Tree,1,2007
Ranunculus ficaria,fig buttercup,L.,18603,Herbaceous,1,2007
Rhamnus cathartica,European buckthorn,L.,28573,Shrub,0,NA
Rhamnus frangula,glossy buckthorn,L.,28579,Shrub,0,NA
Rhodotypos scandens,jetbead,(Thunb.) Makino,25298,Shrub,0,NA
Robinia pseudoacacia,black locust,L.,504804,Tree,0,NA
Rosa multiflora,multiflora rose,Thunb.,24833,Shrub,1,2007
Rubus phoenicolasius,wineberry,Maxim.,25017,Shrub,1,2007
Rumex acetosa,garden sorrel,L.,504901,Herbaceous,0,NA
Securigera varia,crownvetch,(L.) Lassen,521245,Herbaceous,0,NA
Sophora japonica,Japanese pagoda tree,(L.) Schott,506288,Tree,0,NA
Spiraea japonica,Japanese spiraea,L. f. ,25335,Shrub,0,NA
Styphnolobium japonicum,Japanese pagoda tree,(L.) Schott,820265,Tree,0,NA
Tussilago farfara,coltsfoot,L.,38583,Herbaceous,0,NA
Ulmus pumila,Siberian elm,L.,19057,Tree,0,NA
Urtica dioica,stinging nettle,L.,19152,Herbaceous,0,NA
Urtica dioica ssp. dioica,stinging nettle,L.,19153,Herbaceous,0,NA
Viburnum dilatatum,linden arrowwood,Thunb.,505677,Shrub,1,2019
Viburnum lantana,wayfaring tree,L.,35264,Shrub,1,2019
Viburnum opulus var. opulus,European cranberrybush,L.,531140,Shrub,1,2019
Viburnum plicatum,Japanese snowball,Thunb.,35272,Shrub,1,2019
Viburnum sieboldii,Siebold's arrowwood,Miq.,35278,Shrub,1,2019
Vinca minor,lesser periwinkle,L.,30238,Shrub,1,2007
Vincetoxicum,swallow-wort,Wolf,893777,Herbaceous,0,NA
Vincetoxicum nigrum,black swallow-wort,(L.) Moench,523292,Herbaceous,0,NA
Wisteria sp.,wisteria,Nutt.,27019,Shrub,1,2009
Wisteria ,wisteria,Nutt.,27019,Shrub,1,2009
