"TSN","TSN_Accepted","Accepted_Found","Order","Family","Genus","Species","Subspecies","Latin_Name","Accepted_Latin_Name","Rank_Name","Common","Tree","Shrub","Herbaceous","Vine","Moss_Lichen","Graminoid","Canopy_Exclusion","Exotic","Indicator_MIDN","Indicator_APPA_N","Indicator_APPA_S","Indicator_Invasive_NETN","Deer_Browse_Indicator","Deer_Indicator_Tree_NETN","Deer_Indicator_Herb_NETN","Favorites","PLANTS_Code","Shrub_Type","Created_By","Created_Date","Updated_By","Updated_Date","Fern_Ally","ACAD_ED","MABI_ED","MIMA_ED","MORR_ED","ROVA_ED","SAGA_ED","SARA_ED","WEFA_ED","APCO_ED","BOWA_ED","COLO_ED","FRSP_ED","GEWA_ED","HOFU_ED","PETE_ED","RICH_ED","SAHI_ED","THST_ED","VAFO_ED","GETT_ED","ASIS_ED"
-9999999954,-9999999954,TRUE,"Rosales","Rosaceae","Rubus (dewberry)",NA,NA,"Rubus (dewberry)","Rubus (dewberry)","Genus","dewberry",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,"RUBUS_D",NA,"{85C1E403-008D-4605-B678-10F278B8E16E}",2012-11-01 14:15:46,NA,2012-11-01 14:15:46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-9999999952,-9999999952,TRUE,NA,NA,NA,NA,NA,"Other herbaceous","Other herbaceous",NA,"for APPA quad",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,2012-06-14 17:41:54,NA,2012-06-14 17:41:54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-9999999951,-9999999951,TRUE,NA,NA,NA,NA,NA,"No species recorded","No species recorded",NA,"No species recorded",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,2012-06-14 17:41:54,NA,2012-06-14 17:41:54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-9999999950,-9999999950,TRUE,NA,NA,NA,NA,NA,"Unknown species","Unknown species",NA,"Unknown species",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,NA,NA,NA,2012-06-14 17:41:54,NA,2012-06-14 17:41:54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-9999999948,-9999999948,TRUE,"Fagales","Fagaceae","Quercus (White group)",NA,NA,"Quercus (White group)","Quercus (White group)","Genus","oaks (white)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,NA,TRUE,"QUERC_3",NA,NA,2012-06-14 18:51:57,NA,2012-06-14 18:51:57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-9999999947,-9999999947,TRUE,"Fagales","Fagaceae","Quercus (Red group)",NA,NA,"Quercus (Red group)","Quercus (Red group)","Genus","oaks (red)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,NA,TRUE,"QUERC_2",NA,NA,2012-06-14 18:51:57,NA,2012-06-14 18:51:57,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-9999999946,-9999999946,TRUE,"Dipsacales","Caprifoliaceae","Lonicera",NA,NA,"Lonicera - Native","Lonicera - Native","Genus","native - exotic",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,"LONIC","Cover",NA,2012-06-14 17:41:54,NA,2013-10-24 17:41:54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-9999999945,-9999999945,TRUE,"Dipsacales","Caprifoliaceae","Lonicera",NA,NA,"Lonicera - Exotic","Lonicera - Exotic","Genus","honeysuckle - exotic",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,TRUE,"LONIC_EX","Cover",NA,2012-06-14 17:41:54,NA,2013-10-24 17:41:54,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-9999999944,-9999999944,TRUE,NA,NA,NA,NA,NA,"Unknown Hardwood","Unknown Hardwood",NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,2012-06-14 17:41:54,NA,2012-06-14 17:41:54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-9999999943,-9999999943,TRUE,NA,NA,NA,NA,NA,"Unknown Conifer","Unknown Conifer",NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,2012-06-14 17:41:54,NA,2012-06-14 17:41:54,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
