"Location_ID","X_Coord","Y_Coord","Latitude","Longitude","Coord_Units","Coord_System","UTM_Zone","Datum","Est_H_Error","Unit_ID","Loc_Type","Loc_Notes","Plot_Number","GRTS_Order","Panel","Directions","Rejected","Elevation","Aspect","Orientation","Change_Orientation","Physiographic_Class","Terrain_Position","USNVC_Formation","Created_By","Created_Date","Updated_By","Updated_Date","Stand_Origin_Year"
"00597FC0-5B52-4E11-9698-DCCA56760FAD",362877,4121564,37.23051588,-76.54575051,"meters","UTM","18N","NAD83",2.40000009536743,"COLO_YORK","VS","Mixed forest with dense sapling regeneration.","347",36,"2","Park at the far end of the French Encampment Area, head into woods about 200 meters.",FALSE,NA,0,360,FALSE,21,NA,NA,"Camilla  Seirup",2012-08-16 16:38:33,"Veronica E Orwan",2016-08-16 17:15:04,NA
"00B7A434-AF4E-4A8B-8FD1-BBDD35B4D85D",308863,4408075,39.80117992,-77.23262967,"meters","UTM","18N","NAD83",0,"GETT","VS","Jun vir, transitioned into Oak and red maple. Mic vim and ber thu understory. Corners and UC marked with white fiberglass stakes","030",6,"1","Park on Sedgwick Rd, hike in on mowed trail and then bushwack to park boundary, can follow stone wall part of the way.",FALSE,NA,254,3,FALSE,21,NA,NA,"Camilla  Seirup",2012-06-13 16:20:05,"Camilla  Seirup",2015-07-28 08:27:19,NA
"01163067-D946-4B0B-9D7E-3271EADFAF6A",310357,4409298,39.8125254,-77.21554449,"meters","UTM","18N","NAD83",0,"GETT","VS","Next cycle must check the ulmus species in microplots. In 2011 they were listed as U. americana, and in 2015 as U. rubra. 2019 - confirmed U. rubra.","033",14,"1",NA,FALSE,NA,0,360,FALSE,22,NA,NA,"Thomas  Faust",2011-08-03 16:47:29,"Camilla  Seirup",2019-09-24 09:19:02,NA
"019577B0-4BDD-4300-A981-6DAB6E0BD932",365602,4118308,37.20157316,-76.51445549,"meters","UTM","18N","NAD83",1.20000004768372,"COLO_YORK","VS","Mixed forest overstory; plot located in moderate gap allowing pine regeneration on forest floor.","351",27,"2","Park along park road heading towards French Encampments. Head south/southwest approximately 180 meters into forest.",FALSE,NA,0,360,FALSE,22,NA,NA,"Evan K Heck",2012-08-21 11:03:06,"Josh J Hamrick",2016-08-11 10:11:53,NA
"01A098A1-3280-4B85-95EA-BFB3047B0E65",284097,4238809,38.27139718,-77.46805136,"meters","UTM","18N","NAD83",3.20000004768372,"FRSP_FRED","VS","mixed hardwood with sparse vaccinium and lyonia ligustrina understory","197",17,"3","Park on Lee Drive; Plot is about 30 meters off road between the road and a trail",FALSE,NA,0,360,FALSE,21,NA,NA,"mary  short",2012-06-13 16:20:05,"Camilla  Seirup",2017-08-29 14:48:37,NA
"01CBEAA3-EF16-410D-A0E6-ED9E7AFDBB98",693402,4138705,37.37493608,-78.8157274,"meters","UTM","17N","NAD83",2.40000009536743,"APCO","VS","Acer negundo, Liriodendron and Juglans canopy, with grassy understory dominated by microstegum","268",26,"4","~ 190m @ 001 degrees along side the main road",FALSE,NA,360,185,FALSE,21,NA,NA,"{1E30DBBB-8860-48D4-95EC-A8F90A7ED26B}",2010-09-28 07:18:59,"mary  short",2014-08-05 18:14:39,NA
"02F18F66-1419-4101-86FD-3F51EB554324",331350,4228572,38.18930655,-76.92577622,"meters","UTM","18N","NAD83",3.20000004768372,"GEWA","VS",NA,"218",3,"3","Park on a main road through GEWA. Plot approx. 30 m from road.

WARNING: HuGe HolE (over 1 ft deep and wide)! Near upper left regen. Two crew members fell into hole. Thankfully, limber crew avoided significant injury. Future visitors may not be so lucky.

Plot moved 20 m north due to proximity of road and mowed area.",FALSE,NA,0,360,FALSE,21,NA,NA,"Dave A Reynolds",2012-06-13 16:20:05,"Dave A Reynolds",2017-08-31 09:46:39,NA
"03920A1D-B0AB-44D6-9794-7204309E8C16",NA,NA,NA,NA,"Meters","UTM","18N","NAD83",NA,"GETT","VS",NA,NA,55,NA,"Plot along side the autotour road past the VA memorial near the longwood statue parking lot.",TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,2010-09-27 07:32:13,NA,2010-09-27 07:32:13,NA
"03B6A929-4524-47CC-962C-52EC5044D4A9",364100,4120050,37.21722493,-76.52041468,"meters","UTM","18N","NAD83",1.70000004768372,"COLO_YORK","VS","Mixed woods forest with minimal understory.  Originally recorded as GRTS point 80, but GRTS point 29 is the correct GRTS value for the sampled plot.","345",29,"2","Park along park road to French Encampment loop, enter woods on right; plot is approximately 30 meters from road.",FALSE,NA,0,360,FALSE,21,NA,NA,"Evan K Heck",2012-08-16 11:00:26,"Veronica E Orwan",2016-08-16 16:34:05,NA
"041884A6-81EE-4087-8EBE-FD8F1C542650",367601,4119050,37.20854516,-76.49206855,"meters","UTM","18N","NAD83",NA,"COLO_YORK","VS","Center Tag #41. Steep ravine through middle of plot, BL transect crosses it. Mixed hardwood canopy with ilex in the subcanopy. Sparse groundcover.","335",6,"1","Park on tour rd, less than 100m easy bushwack in.",FALSE,NA,220,70,FALSE,26,NA,NA,"Thomas  Faust",2011-10-03 13:28:13,"Camilla  Seirup",2015-08-06 13:59:09,NA
"049EF731-FFC1-40FE-AE40-57BC63CD8DB6",269347,4242804,38.3036973,-77.63780553,"meters","UTM","18N","NAD83",2.20000004768372,"FRSP_CHWILD","VS","Sparse vacc understory, mixed oak canopy.
Reset UR. Was off by 1m and 3 degrees. Changed orientation to 358. 9/2/14","283",43,"4","Park on 1-way road March 140 m at 116 degree",FALSE,NA,140,358,FALSE,21,NA,NA,"{1E30DBBB-8860-48D4-95EC-A8F90A7ED26B}",2010-09-27 16:30:13,"Anna R Casillas",2014-09-02 10:52:55,NA
