"Quadrat_Character_Data_ID","Event_ID","Quadrat_ID","A2","A5","A8","AA","B2","B5","B8","BB","C2","C5","C8","CC","UC","UL","ML","BL","BC","BR","MR","UR","UP3","UP7","UP11","BR3","BR7","BR11","BL3","BL7","BL11","Created_By","Created_Date","Updated_By","Updated_Date"
"0002E57A-4EEE-4EAB-84C0-0E1B65B57466","3F022861-5F87-4E81-B242-CFAEDE79B86F",3,0,0,0,0,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"{7B6C4021-3131-495C-AECC-93D5C21C6923}",2016-08-25 13:14:47,"{7B6C4021-3131-495C-AECC-93D5C21C6923}",2016-08-25 14:10:25
"0008278E-8875-44EA-82CA-A1277AECD473","BA6D976B-1F50-4B9A-A313-76115A177E2B",2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2018-08-22 08:10:30,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2018-08-22 08:54:40
"0018BFFD-3E00-4511-80E1-20A917359DDC","575AC940-5EBF-4E5C-85FA-BAB6E79E1BD3",5,5,0,3,3,0,1,1,0,0,5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"{F258BACD-1019-4380-8A75-7DAA42F15754}",2014-09-16 15:35:00,"{F258BACD-1019-4380-8A75-7DAA42F15754}",2014-09-16 15:39:21
"001A7A50-A97F-4435-870F-8CFC779C88C7","CB5A2AA1-B071-46DC-A6CB-D5783FF35A8E",2,1,0,2,1,2,0,0,2,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-07-05 09:38:06,"7/5/2012 9:38:06 AM",2012-07-05 09:38:06
"001E145E-9F6B-429F-A97E-CD3460E53704","51C3F315-DA7C-46E3-B6F7-4D1D4A7305F0",8,0,0,0,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"{AF963EC2-E166-4D3E-A508-81D49E604A92}",2018-08-21 07:58:13,"{AF963EC2-E166-4D3E-A508-81D49E604A92}",2018-08-21 08:35:18
"0025FA47-BC70-42B5-9002-289E08EAA9F5","CB5A2AA1-B071-46DC-A6CB-D5783FF35A8E",9,0,1,0,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-07-05 09:38:06,"7/5/2012 9:38:06 AM",2012-07-05 09:38:06
"00295851-A12D-475B-A88A-DF33C66EC533","49958FEF-90B3-464A-9D56-964CD0AE1E2B",8,0,0,0,0,1,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2015-08-27 13:05:37,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2015-09-16 16:39:37
"002DFF4D-2AA5-40A1-85EB-84FC08982A1F","7DDC1196-828C-4D00-822B-3D1A6F9D89E6",2,0,0,1,1,0,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2015-09-14 08:47:21,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2015-09-14 10:04:49
"0034C6C0-9CF3-447F-961B-144E540C415E","90186958-668C-4C50-8855-19B34918BFBC",8,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2017-08-24 14:33:35,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2017-08-24 15:24:27
"003610E3-EED7-4F2A-8B78-CE26FF87B80F","E6EC3477-7476-4964-B243-9993E31A1C5F",9,3,2,3,3,4,4,2,4,4,5,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"{6A5059AB-3541-4DA4-A764-3E55025F539C}",2017-07-27 07:52:47,"{6A5059AB-3541-4DA4-A764-3E55025F539C}",2017-08-15 16:55:32
