"Soil_Data_ID","Event_ID","Date_SoilCollected","Sampling_Position","Earthworms","Sample_Type","Horizon_Type","Notes","Archived","Created_By","Created_Date","Updated_By","Updated_Date"
"004CAE34-42E7-4DFE-A451-9FAFDB6FC184","749D5910-C91E-41C8-A0AD-660CFC4049C3",NA,NA,NA,NA,NA," ++ Soil not scheduled for sampling this year. ++",FALSE,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2019-08-07 08:16:44,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2019-11-01 11:03:42
"00A8598F-E3F3-455C-9212-214DDB943667","D0F2BA6E-4FEC-44F6-83EC-662F784331AD",2019-09-24,NA,NA,NA,NA," ++ Soil not scheduled for sampling this year. ++",FALSE,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2019-09-24 15:24:57,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2019-09-24 15:26:21
"00B310AA-233A-47B0-8173-C81385B8051C","DD6F9FB5-AA9E-4CDC-BD56-249F58884AC0",2011-06-07,"S1",NA,1,1,NA,FALSE,"{501A76CE-EBF1-4C9C-84CE-9054EF60994B}",2010-09-26 18:55:05,"{501A76CE-EBF1-4C9C-84CE-9054EF60994B}",2010-09-26 18:57:04
"012227FD-9D97-441C-8E9A-E1757AAB6F9F","6BFB3FB9-FAAD-4F2B-B01D-2A1497038470",NA,NA,NA,NA,NA," ++ Soil not scheduled for sampling this year. ++",FALSE,"{A27B3D5E-02FF-4045-90AA-D36F564E01DC}",2019-08-07 08:16:10,"{A27B3D5E-02FF-4045-90AA-D36F564E01DC}",2019-08-07 11:21:55
"01261CDD-B1B0-4AE3-BB3C-733AF4FD17C6","8008C020-5AA8-4C9C-BE17-371812B701D9",2019-07-17,NA,NA,NA,NA," ++ Soil not scheduled for sampling this year. ++",FALSE,"{7CF1D8A0-4CB5-44EA-A457-1E82542FD34A}",2019-07-17 13:51:00,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2020-04-03 12:58:12
"0135066D-E2D6-4A29-BAA6-F8BB9B4AE0A4","269CDEF8-3132-4896-A17B-2CCC075E8E1D",2013-09-16,"S2",NA,1,1,NA,FALSE,"{8330C84C-E3CB-45E0-99A3-133519C3A7AD}",2013-09-16 14:45:52,"{8330C84C-E3CB-45E0-99A3-133519C3A7AD}",2013-09-16 16:31:21
"01663090-1C2F-4264-8E4D-A877581A0D8D","E56AF37E-C372-43E6-A771-BBBB7666A380",2011-06-07,"S1",NA,1,3,NA,FALSE,"{1E30DBBB-8860-48D4-95EC-A8F90A7ED26B}",2010-09-28 14:31:28,"{1E30DBBB-8860-48D4-95EC-A8F90A7ED26B}",2010-09-28 14:34:31
"01BF6F0C-5764-4DF8-9AB4-3C9F1B3CDCD1","5C1A360B-7CB6-40C1-9594-BD79ED7FED7B",2019-08-06,NA,NA,NA,NA," ++ Soil not scheduled for sampling this year. ++",FALSE,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2019-08-06 11:34:36,"{797D4AA4-8007-47B4-AA42-7C0E644D1031}",2020-01-23 15:14:09
"01D8C05E-B037-4F8E-B13F-BCA450EFF10C","6BFB7210-52A3-4CE9-8877-AADAA6500B04",2013-08-28,"S2",NA,1,1,NA,FALSE,"{8330C84C-E3CB-45E0-99A3-133519C3A7AD}",2013-08-28 08:52:47,"{8330C84C-E3CB-45E0-99A3-133519C3A7AD}",2013-08-28 10:21:06
"01FBFFD9-2207-43EB-8E2B-00C222448B3E","6BB79DEF-CDC3-4C59-8CDE-FAA4C2A47CEF",NA,NA,NA,NA,NA,"Plot Abandoned before soil collection",FALSE,NA,2013-09-09 08:44:51,NA,2013-09-09 08:44:51
