"LabResult_ID","Soil_Data_ID","Unit_Code","Plot_Number","Sampling_Year","QA.QC","Layer","Date_SoilCollected","Date_Dry","UMO_Sample","soil.pH","X..LOI","X..TN","X..TC","Ca","K.Reported","K.Analysis","Mg","P.Reported","P.Analysis","Al.Reported","Al.Analysis","Fe.Reported","Fe.Analysis","Mn","Na.Reported","Na.Analysis","Zn.Reported","Zn.Analysis","acidity.Reported","acidity.Analysis","ECEC","Notes","Appended_Date","Appended_By"
"01355940-B313-448C-B6F0-F795ECFEB607","A8912D0E-4659-4861-89D7-3E7CDC003ABA","GETT","089","2012",FALSE,"10 cm",2012-08-06,2012-09-17,"73",5.8,12.9,0.38,5.58,2328,"152.84",153,474,"2.692",2.7,"3.594",3.6,"0.524",0.5,17,"5.614",5.6,"0.2",0.192,"0.5856",0.6,16.5,NA,2013-05-14 10:21:09,"Adam J Kozlowski"
"023E95E5-2C1C-4CD4-B147-3917596DCF92","EF2E6DE3-41C9-49FE-83D0-F44520FF1740","PETE_FIVE","300","2010",FALSE,"O",2010-09-14,2010-09-22,"71",4.19,34.1,0.7987,17.11,625.85,"358.35",358.35,233.9,"42.25",42.25,"115.75",115.75,"20",20,110.35,"22.8",22.8,"9.4",9.4,"5.445",5.445,NA,NA,2011-06-07 10:38:37,NA
"031FFD74-00BC-4EB7-A3F7-76A7AEB4DE0C","0474BBB9-7294-4024-A9B5-BFB043B93729","GETT","171","2013",FALSE,"A",2013-07-29,2013-08-26,"51",5.14,9,0.19,2.989,641.2,"88.54",88.54,207.8,"0.876",0.876,"61.24",61.24,"2.42",2.42,71.66,"7.92",7.92,"1.334",1.334,"1.2",1.2,6.37716786124004,NA,2014-11-27 07:42:43,"Jim A Comiskey"
"034050B5-C7E6-4C3D-99A0-BC1878331BE4","BA8E0161-08FC-453D-B5DD-00CFD3AE004B","PETE_EAST","297","2010",FALSE,"A",2010-09-13,2010-09-22,"68",4.77,2.2,0.04684,0.9644,25.26,"23.32",23.32,5.74,"< 1.0",1,"100.74",100.74,"2.48",2.48,1.04,"2.68",2.68,"0.72",0.72,"1.386",1.386,NA,NA,2011-06-07 10:38:37,NA
"03A5AD16-DF5B-449F-8096-8B7EEC428956","D0EA5C0B-0819-4B05-A8C8-D41DA1A3C2DA","THST","130","2012",FALSE,"10 cm",2012-09-06,2012-09-17,"126",5.3,7.6,0.27,3.66,868,"129.12",129,152,"3.978",4,"21.38",21,"3.248",3.2,16,"4.632",4.6,"1.1",1.064,"0.5856",0.6,6.5,NA,2013-05-14 10:21:09,"Adam J Kozlowski"
"04532188-5A92-4FF2-ADE4-1C85BCEAE308","CC972444-D382-4EED-97EB-A3903495DB44","FRSP_SPOT","056","2011",FALSE,"10 cm",2011-08-24,2011-09-05,"52",5.05,5.7,0.1049,1.831,138.92,"75.74",75.74,43.34,"2.592",2.592,"65.42",65.42,"3.636",3.636,105.5,"4.574",4.574,"1.894",1.894,"1.188",1.188,2.45290321534948,NA,2012-04-10 00:00:00,NA
"04886329-4114-4298-9412-313C9F6EDDD7","94F8A953-6EEB-482B-90FE-A9B8E47068CA","FRSP_CHWILD","043","2011",FALSE,"A",2011-08-29,2011-09-14,"15",3.89,7.6,0.134,4.012,64.2,"53.72",53.72,21.9,"3.134",3.134,"175.28",175.28,"21.02",21.02,8.376,"6.45",6.45,"1.61",1.61,"3.366",3.366,4.03268169618894,NA,2012-04-10 00:00:00,NA
"04E74A27-8B03-4707-9828-F72F462CA5A4","32A5B2D6-8DBB-41EA-B061-0F92B5CE2A86","PETE_EAST","299","2010",FALSE,"A",2010-09-13,2010-09-22,"70",4.66,4.1,0.1079,2.224,193.16,"36.4",36.4,33.44,"1.94",1.94,"86.88",86.88,"7.44",7.44,15.8,"3.28",3.28,"1.24",1.24,"1.386",1.386,NA,NA,2011-06-07 10:38:37,NA
"05B385E7-EEDA-48B7-8BEF-C1529D1954C7","18B469A4-A0DD-4D41-B3F1-BD7A70CDD291","VAFO","042","2012",FALSE,"O",2012-08-01,2012-09-05,"136",6.1,20.2,0.55,14.1,3740,"359",359,354,"6.162",6.2,"3.26",3.3,"3.66",3.7,21,"11.808",12,"2.8",2.846,"0.2",0.2,22.8,"Not collected 2011",2013-05-14 10:21:09,"Adam J Kozlowski"
"07852619-4786-43D4-839F-1DA60D88B601","B3AD5101-8AA8-452B-9DFE-E6B942D8BB11","GETT","171","2013",TRUE,"A",2013-07-31,2013-08-26,"52",5.09,9.7,0.196,2.887,851,"77.46",77.46,275.4,"0.826",0.826,"69.28",69.28,"0.946",0.946,73.86,"10.96",10.96,"2.506",2.506,"1.2",1.2,7.96742625745951,NA,2014-11-27 07:42:43,"Jim A Comiskey"
